lang,tech,operation,concurrency,requests,errors,throughput,avg_ms,p50_ms,p95_ms
Node,REST,musicsByPlaylist,50,3524,0,586.484319082178,80.24489058050958,77.24729995243251,128.6553000099957
Node,REST,musicsByPlaylist,100,5405,0,679.1837274641485,131.93174986117913,127.6667999336496,223.70580001734197
Node,REST,musicsByPlaylist,200,13236,0,1144.8334150605542,142.20774355551518,134.30459995288402,260.3356000036001
Node,GraphQL,listMusics,10,1621,0,321.76631404410404,30.97343380720384,30.375400092452765,35.90169991366565
Node,GraphQL,listMusics,50,1712,0,326.89617731840707,149.66049824688184,150.8036000886932,168.76239993143827
Node,GraphQL,listMusics,100,1792,0,326.89316106312754,293.2096949796557,296.0552000440657,422.12639993522316
Node,GraphQL,listMusics,200,2015,0,335.64608756971313,549.6754674937127,579.5401999494061,758.2976000849158
Node,GraphQL,musicsByPlaylist,10,5108,0,1015.8299841162114,9.821242384335243,9.076999966055155,15.597900026477873
Node,GraphQL,musicsByPlaylist,50,4649,0,864.2721957949663,56.38049165399236,54.23090001568198,89.54249997623265
Node,GraphQL,musicsByPlaylist,100,5401,0,803.3559783227098,113.4197843177044,110.9322999836877,189.74860000889748
Node,GraphQL,musicsByPlaylist,200,11569,0,1004.42460804225,162.04421128014047,149.6153000043705,311.11860007513314
Node,gRPC,listMusics,10,7830,0,1563.0366076333391,6.392500179077559,6.244500051252544,8.212899905629456
Node,gRPC,listMusics,50,8838,0,1752.3058743124723,28.43028453232341,27.279499918222427,35.49629996996373
Node,gRPC,listMusics,100,8909,0,1738.9666770540732,56.925840183682425,55.513400002382696,74.33680002577603
Node,gRPC,listMusics,200,9120,0,1758.4709663013764,111.82186097588814,110.87710002902895,149.74160003475845
Node,gRPC,musicsByPlaylist,10,27337,0,5455.459200035187,1.830564765688883,1.7598000122234225,2.57639994379133
Node,gRPC,musicsByPlaylist,50,30752,0,5989.843327737171,8.266236355228294,7.463000016286969,14.45770007558167
Node,gRPC,musicsByPlaylist,100,36437,0,6703.635982437119,14.529212223692864,13.729300000704825,25.10560001246631
Node,gRPC,musicsByPlaylist,200,43071,0,7015.737463202336,26.09699125850536,24.374800035730004,48.70879999361932
Node,SOAP,listMusics,10,1324,0,262.640673440513,37.93478814321936,36.63870005402714,47.54319996573031
Node,SOAP,listMusics,50,1579,0,302.0292944694225,162.08241602231615,163.54380000848323,175.20309996325523
Node,SOAP,listMusics,100,1628,0,295.816932349115,323.51649084691354,324.5239000534639,422.56340000312775
Node,SOAP,listMusics,200,1758,0,297.6318258386094,620.9110233792876,653.3283999888226,808.8774000061676
Node,SOAP,musicsByPlaylist,10,6216,0,1238.248541270189,8.063504472712026,7.744300062768161,13.542799977585673
Node,SOAP,musicsByPlaylist,50,5102,0,944.8470620921408,51.669952744237094,51.3043999671936,84.81189992744476
Node,SOAP,musicsByPlaylist,100,6188,0,907.9496627184553,100.32902301231422,97.24239993374795,160.55569995660335
Node,SOAP,musicsByPlaylist,200,11479,0,980.8907879544648,169.05360540158244,157.41179999895394,317.9760000202805
